PASSENGERS,DISTANCE,UNIQUE_CARRIER,AIRLINE_ID,UNIQUE_CARRIER_NAME,REGION,CARRIER,CARRIER_NAME,CARRIER_GROUP,CARRIER_GROUP_NEW,ORIGIN_AIRPORT_ID,ORIGIN,ORIGIN_CITY_NAME,ORIGIN_STATE_ABR,ORIGIN_STATE_FIPS,ORIGIN_STATE_NM,ORIGIN_WAC,DEST_AIRPORT_ID,DEST,DEST_CITY_NAME,DEST_STATE_ABR,DEST_STATE_FIPS,DEST_STATE_NM,DEST_WAC,YEAR,MONTH
8.00,27.00,7S,20330,Ryan Air f/k/a Arctic Transportation,D,7S,Ryan Air f/k/a Arctic Transportation,1,5,10304,ANI,"Aniak, AK",AK,02,Alaska,1,12719,KLG,"Kalskag, AK",AK,02,Alaska,1,2024,1
8.00,28.00,6F,22105,"FOX AIRCRAFT, LLC",D,6F,"FOX AIRCRAFT, LLC",1,5,15862,WTL,"Tuntutuliak, AK",AK,02,Alaska,1,12708,KKH,"Kongiganak, AK",AK,02,Alaska,1,2024,1
8.00,29.00,V8,20346,Iliamna Air Taxi,D,V8,Iliamna Air Taxi,1,5,14412,QQB,"Keyes Point, AK",AK,02,Alaska,1,12321,ILI,"Iliamna, AK",AK,02,Alaska,1,2024,1
8.00,41.00,9X,21618,"Southern Airways Express, dba Mokulele Airlines",D,9X,"Southern Airways Express, dba Mokulele Airlines",1,6,13830,OGG,"Kahului, HI",HI,15,Hawaii,2,13109,LUP,"Kalaupapa, HI",HI,15,Hawaii,2,2024,1
8.00,42.00,8V,20333,Wright Air Service,D,8V,Wright Air Service,1,5,11007,CIK,"Chalkyitsik, AK",AK,02,Alaska,1,11833,FYU,"Fort Yukon, AK",AK,02,Alaska,1,2024,1
8.00,43.00,7S,20330,Ryan Air f/k/a Arctic Transportation,D,7S,Ryan Air f/k/a Arctic Transportation,1,5,10304,ANI,"Aniak, AK",AK,02,Alaska,1,12087,HCR,"Holy Cross, AK",AK,02,Alaska,1,2024,1
8.00,50.00,J5,20337,Kalinin Aviation LLC d/b/a Alaska Seaplanes,D,J5,Kalinin Aviation LLC d/b/a Alaska Seaplanes,1,5,12523,JNU,"Juneau, AK",AK,02,Alaska,1,15231,TKE,"Tenakee, AK",AK,02,Alaska,1,2024,1
8.00,56.00,1SQ,21570,Star Marianas Air Inc.,D,1SQ,Star Marianas Air Inc.,1,6,12016,GUM,"Guam, TT",TT,75,U.S. Pacific Trust Territories and Possessions,5,14582,ROP,"Rota, TT",TT,75,U.S. Pacific Trust Territories and Possessions,5,2024,1
8.00,56.00,6F,22105,"FOX AIRCRAFT, LLC",D,6F,"FOX AIRCRAFT, LLC",1,5,15862,WTL,"Tuntutuliak, AK",AK,02,Alaska,1,12779,KPN,"Kipnuk, AK",AK,02,Alaska,1,2024,1
8.00,60.00,7S,20330,Ryan Air f/k/a Arctic Transportation,D,7S,Ryan Air f/k/a Arctic Transportation,1,5,14627,RSH,"Russian Mission, AK",AK,02,Alaska,1,10304,ANI,"Aniak, AK",AK,02,Alaska,1,2024,1
8.00,64.00,8E,20331,Bering Air Inc.,D,8E,Bering Air Inc.,1,5,12822,KTS,"Brevig Mission, AK",AK,02,Alaska,1,14805,SHH,"Shishmaref, AK",AK,02,Alaska,1,2024,1
8.00,67.00,6F,22105,"FOX AIRCRAFT, LLC",D,6F,"FOX AIRCRAFT, LLC",1,5,12831,KUK,"Kasigluk, AK",AK,02,Alaska,1,15887,WWT,"Newtok, AK",AK,02,Alaska,1,2024,1
8.00,72.00,6F,22105,"FOX AIRCRAFT, LLC",D,6F,"FOX AIRCRAFT, LLC",1,5,15085,SXP,"Sheldon Point, AK",AK,02,Alaska,1,15554,VAK,"Chevak, AK",AK,02,Alaska,1,2024,1
8.00,77.00,6F,22105,"FOX AIRCRAFT, LLC",D,6F,"FOX AIRCRAFT, LLC",1,5,12851,KWK,"Kwigillingok, AK",AK,02,Alaska,1,10551,BET,"Bethel, AK",AK,02,Alaska,1,2024,1
8.00,79.00,8V,20333,Wright Air Service,D,8V,Wright Air Service,1,5,15581,VEE,"Venetie, AK",AK,02,Alaska,1,10349,ARC,"Arctic Village, AK",AK,02,Alaska,1,2024,1
8.00,84.00,9X,21618,"Southern Airways Express, dba Mokulele Airlines",D,9X,"Southern Airways Express, dba Mokulele Airlines",1,6,12492,JHM,"Kapalua, HI",HI,15,Hawaii,2,12173,HNL,"Honolulu, HI",HI,15,Hawaii,2,2024,1
8.00,88.00,04Q,21080,Tradewind Aviation,D,04Q,Tradewind Aviation,1,6,11675,FID,"Fishers Island, NY",NY,36,New York,22,12197,HPN,"White Plains, NY",NY,36,New York,22,2024,1
8.00,88.00,04Q,21080,Tradewind Aviation,D,04Q,Tradewind Aviation,1,6,12197,HPN,"White Plains, NY",NY,36,New York,22,11675,FID,"Fishers Island, NY",NY,36,New York,22,2024,1
8.00,93.00,6F,22105,"FOX AIRCRAFT, LLC",D,6F,"FOX AIRCRAFT, LLC",1,5,12195,HPB,"Hooper Bay, AK",AK,02,Alaska,1,10416,AUK,"Alakanuk, AK",AK,02,Alaska,1,2024,1
